//Команда + параметр = установка нового значения || Команда (без параметра) = показать установленное значение

// Настройки устройства

----- Описание команд -----------------------|-------Пример применения-------------------------
FW - Версия ПО                               |  (FW) +
FR - Возврат к заводским настройкам          |  (FR) +
GP - Показать всю конфигурацию устройства    |  (GP) +

DVM - Режим устройства                       |  (DVM0 - режим ведущего, DVM1 - режим ведомого, DVM - показать устаовленное значение) +
RXM - Активация приемника                    |  (RXM0 - приемник выключен, RXM1 - приемник включен, RXM - показать устаовленное значение) +
TXM - Активация передатчика                  |  (TXM0 - передатчик выключен, TXM1 - передатчик включен, TXM - показать устаовленное значение) +
TLM - Активация Tally                        |  (TLM0 - tally выключен, TLM1 - tally включен, TLM - показать устаовленное значение) +
LBT - Активация фиксации кнопки              |  (LBT0 - фиксация кнопки выключен, LBT1 - фиксация кнопки включен, LBT - показать устаовленное значение) +
WFM - Активация WiFi                         |  (WFM0 - WiFI выключен, WFM1 - WiFI включен, WFM - показать устаовленное значение) +
RBT - Перезагрузка                           |  (RBT - активация перезагрузки устройства, выполнять после установки всех новых значений настроек) +

// Настройки сети
FHT - Частота передатчика                    |  (FHT9000 - установка частоты 90,0 FM, FHT - показать устаовленное значение) +
FHR - Частота приемника                      |  (FHR9000 - установка частоты 90,0 FM, FHR - показать устаовленное значение) +
WFA - Точка доступа                          |  (WFAmy_ap_name - установка имени точки доступа, WFA - показать устаовленное значение) +
WFK - Ключ шифрования                        |  (WFKmy_ap_key - установка ключа точки доступа, WFK - показать устаовленное значение) +
DHC - Активация получения параметров по DHCP |  (DHC0 - ручная настройка сети WiFi, DHC1 - автоматическая настройка сети, DHC - показать устаовленное значение) +
SIP - IP адрес сервера Tally                 |  (SIP192.168.1.7 - установка IP адреса сервера tally, SIP - показать устаовленное значение) +
DIP - IP адрес устройства                    |  (DIP192.168.1.6 - установка IP адреса устройства при активированной ручной настройки сети, DIP - показать устаовленное значение) +
DGA - IP адрес шлюза                         |  (DGA192.168.1.6 - установка IP адреса устройства при активированной ручной настройки сети, DGA - показать устаовленное значение) +
DSA - Маска сети                             |  (DSA192.168.1.6 - установка IP адреса устройства при активированной ручной настройки сети, DSA - показать устаовленное значение) +
PRT - Порт сервера Tally                     |  (PRT4455 - установка порта сервера tally, PRT - показать устаовленное значение) +
DID - ID устройства                          |  (DID42aeda65 - установка ID устройства, установить при необходимости, DID - показать устаовленное значение) +
DNM - Имя устройства в сети tally            |  (DNMmy_dev_name - установка имени устройства в сети tally, DNM - показать установленное значение)+



